symbol,level,horizon,date,entry,fwd_pct,bars_avail,outcome,resume,episode_id,touch_before_resume
AAPL,0.5,5,2017-06-14,33.6494255065918,0.48915116718692975,5,fail,False,AAPL_611,True
AAPL,0.5,10,2017-06-14,33.6494255065918,0.46154657156023404,10,fail,False,AAPL_611,True
AAPL,0.618,5,2017-06-14,33.6494255065918,0.48915116718692975,5,fail,False,AAPL_611,True
AAPL,0.618,10,2017-06-14,33.6494255065918,0.46154657156023404,10,fail,False,AAPL_611,True
AAPL,0.786,5,2017-06-14,33.6494255065918,0.48915116718692975,5,fail,False,AAPL_611,True
AAPL,0.786,10,2017-06-14,33.6494255065918,0.46154657156023404,10,fail,False,AAPL_611,True
AAPL,0.236,5,2017-07-03,33.2646369934082,1.4145898137928103,5,resume,True,AAPL_624,True
AAPL,0.236,10,2017-07-03,33.2646369934082,4.585324178265804,10,resume,True,AAPL_624,True
AAPL,0.382,5,2017-07-03,33.2646369934082,1.4145898137928103,5,resume,True,AAPL_624,True
AAPL,0.382,10,2017-07-03,33.2646369934082,4.585324178265804,10,resume,True,AAPL_624,True
AAPL,0.5,5,2017-07-03,33.2646369934082,1.4145898137928103,5,resume,True,AAPL_624,True
AAPL,0.5,10,2017-07-03,33.2646369934082,4.585324178265804,10,resume,True,AAPL_624,True
AAPL,0.618,5,2017-07-03,33.2646369934082,1.4145898137928103,5,resume,True,AAPL_624,True
AAPL,0.618,10,2017-07-03,33.2646369934082,4.585324178265804,10,resume,True,AAPL_624,True
AAPL,0.786,5,2017-07-03,33.2646369934082,1.4145898137928103,5,resume,True,AAPL_624,True
AAPL,0.786,10,2017-07-03,33.2646369934082,4.585324178265804,10,resume,True,AAPL_624,True
AAPL,0.236,5,2017-08-24,37.065242767333984,2.969794155899419,5,resume,True,AAPL_660,True
AAPL,0.236,10,2017-08-24,37.065242767333984,-0.4018142052364726,10,resume,True,AAPL_660,True
AAPL,0.236,5,2017-09-11,37.58420944213867,-1.752361716218509,5,fail,False,AAPL_672,True
AAPL,0.236,10,2017-09-11,37.58420944213867,-6.780184674409218,10,fail,False,AAPL_672,True
AAPL,0.382,5,2017-09-11,37.58420944213867,-1.752361716218509,5,fail,False,AAPL_672,True
AAPL,0.382,10,2017-09-11,37.58420944213867,-6.780184674409218,10,fail,False,AAPL_672,True
AAPL,0.5,5,2017-09-11,37.58420944213867,-1.752361716218509,5,fail,False,AAPL_672,True
AAPL,0.5,10,2017-09-11,37.58420944213867,-6.780184674409218,10,fail,False,AAPL_672,True
