n,mean_pct,std_pct,median_pct,win_rate,mean_R,t,p,breakeven_bps,mean_risk_pct,trades_per_yr,symbol,n_min,entry_rule,stop,target,direction_mode,window,bonf_bar_per_symbol,bonf_bar_total
679,0.02978807424937264,0.6669946873972015,-0.3031220964584044,0.38291605301914583,0.10885368969884641,1.1637372612511256,0.24453050418497613,2.978807424937264,0.5051467151678878,119.86696471725472,NVDA,15,touch,atr10,2R,long_only,full,3.577254387307179,3.9247896514051925
712,0.0041294997454756725,0.7168216603114723,-0.30686237510583136,0.3553370786516854,0.009243739615798052,0.15371856462342973,0.8778316463092992,0.41294997454756727,0.5312356000490749,125.69260512324794,NVDA,15,touch,atr10,2R,short_only,full,3.577254387307179,3.9247896514051925
1391,0.016654425761396627,0.6928173245445515,-0.30483380608203986,0.3687994248741912,0.0578671444370704,0.8965499463059458,0.369959117254421,1.6654425761396627,0.5185006231732116,245.55956984050266,NVDA,15,touch,atr10,2R,long_short,full,3.577254387307179,3.9247896514051925
679,0.04820884183297426,0.7929231346454404,-0.31640566960189404,0.3122238586156112,0.15914316082634547,1.5842747338237024,0.11313121289644346,4.8208841832974265,0.5051467151678878,119.86696471725472,NVDA,15,touch,atr10,3R,long_only,full,3.577254387307179,3.9247896514051925
712,0.0010991102338675158,0.8296412112342334,-0.3355230887377524,0.2752808988764045,0.007791338942514737,0.035350123188525255,0.9718005557586131,0.10991102338675157,0.5312356000490749,125.69260512324794,NVDA,15,touch,atr10,3R,short_only,full,3.577254387307179,3.9247896514051925
1391,0.024095161819628463,0.8119754913990472,-0.3266980891384896,0.293314162473041,0.08167191914317691,1.106752448800012,0.26840097218309733,2.409516181962846,0.5185006231732116,245.55956984050266,NVDA,15,touch,atr10,3R,long_short,full,3.577254387307179,3.9247896514051925
679,0.11457402320585879,1.2505782989958245,-0.33416405023548224,0.23711340206185566,0.3329637303817181,2.3873173940038397,0.01697183176702355,11.457402320585878,0.5051467151678878,119.86696471725472,NVDA,15,touch,atr10,eod,long_only,full,3.577254387307179,3.9247896514051925
712,0.06510090800904436,1.340065142893024,-0.35130689613723953,0.18679775280898878,0.08126312684550706,1.29628689998035,0.19487666011065619,6.510090800904436,0.5312356000490749,125.69260512324794,NVDA,15,touch,atr10,eod,short_only,full,3.577254387307179,3.9247896514051925
1391,0.08925061700878341,1.296925485872557,-0.34049834460681855,0.2113587347232207,0.2041277636543405,2.5666093232070613,0.01026982465649251,8.925061700878341,0.5185006231732116,245.55956984050266,NVDA,15,touch,atr10,eod,long_short,full,3.577254387307179,3.9247896514051925
686,0.13432732201758332,1.4856968874191572,0.38966671143841386,0.5524781341107872,0.09355490448163264,2.368079078916432,0.017880713612289156,13.432732201758332,1.7026491783151878,121.10270662155631,NVDA,15,touch,or,1R,long_only,full,3.577254387307179,3.9247896514051925
719,0.0058283193708186165,1.5874578005813698,0.04284490145672421,0.5090403337969402,0.017969597682423188,0.09844770524308864,0.9215767953227314,0.5828319370818617,1.7048205879978633,126.92834702754953,NVDA,15,touch,or,1R,short_only,full,3.577254387307179,3.9247896514051925
