symbol,date,bucket,time,n_quotes,median_bps,mean_bps,p90_bps,p99_bps,median_abs_spread,median_mid,median_bid_size,median_ask_size
AMD,2022-10-13,09:30-09:45,09:40:00,4826,1.8249840313893624,2.009443473513732,3.650301149844136,3.6523009495988172,0.00999999999999801,54.8,4.0,3.0
AAPL,2022-10-13,09:45-10:30,09:50:00,5001,1.4730794726383025,1.1589113973277876,1.4743826022860476,2.2110034270553958,0.01999999999998181,135.70499999999998,3.0,3.0
AMD,2022-10-13,09:45-10:30,09:50:00,4997,1.787150388704854,1.8178478201800945,1.7914405111020921,3.582303421100327,0.00999999999999801,55.955,5.0,4.0
AAPL,2022-10-13,09:45-10:30,10:10:00,5343,0.7336488023176629,0.9801546603338404,1.467243782553137,1.4675667742868954,0.010000000000019327,136.36,3.0,3.0
AMD,2022-10-13,09:45-10:30,10:10:00,4651,1.7672528055147327,1.9765815263957263,3.531696980399634,3.5366931918661586,0.00999999999999801,56.595,4.0,5.0
AAPL,2022-10-13,10:30-15:30,11:15:00,4069,0.7261900439359013,0.9451269912271631,1.452432824982588,1.452643811738105,0.010000000000019327,137.715,4.0,3.0
AMD,2022-10-13,10:30-15:30,11:15:00,4549,1.6985138004254974,1.9605836260094553,3.396739130435314,3.3984706881896383,0.00999999999999801,58.875,3.0,6.0
IWM,2022-10-13,10:30-15:30,11:15:00,1382,0.5958942883527042,0.8868060008556796,1.1916820592272082,1.1918240867637095,0.010000000000019327,167.845,3.0,2.0
AAPL,2022-10-13,10:30-15:30,12:45:00,4649,0.7112122613007592,0.9378527862170662,1.422373942110108,1.4228799089343915,0.009999999999990905,140.625,4.0,3.0
AMD,2022-10-13,10:30-15:30,12:45:00,3733,1.7242865764286595,1.762240635391753,1.7254766629277907,3.4494653328739435,0.00999999999999801,57.995000000000005,6.0,6.0
IWM,2022-10-13,10:30-15:30,12:45:00,1618,0.5896052592800523,0.6905076608876778,1.179245283019471,1.1793148180896167,0.009999999999990905,169.615,8.0,2.0
AAPL,2022-10-13,10:30-15:30,14:30:00,5726,0.7083908900925091,0.8235695550924964,1.4166312508861192,1.4182385477244528,0.009999999999990905,141.175,4.0,5.0
AMD,2022-10-13,10:30-15:30,14:30:00,3237,1.7066302585541449,1.746135500252137,1.709547824600053,3.4164673727359105,0.00999999999999801,58.595,7.0,6.0
IWM,2022-10-13,10:30-15:30,14:30:00,1037,0.5860462390477279,0.6595178009868257,1.1720581340840504,1.1723082054447842,0.009999999999990905,170.635,8.0,3.0
AAPL,2022-10-13,15:30-16:00,15:35:00,4152,0.7020253431142479,0.8140526436744445,1.4039028499235038,1.4042971492775052,0.009999999999990905,142.45499999999998,5.0,5.0
AMD,2022-10-13,15:30-16:00,15:35:00,1915,1.6985138004254974,1.6232205633288408,1.6990909863219794,1.699957501062135,0.00999999999999801,58.875,8.0,11.0
IWM,2022-10-13,15:30-16:00,15:35:00,3705,0.5845389449083341,0.6074484408942262,0.5847782228584488,1.169659044389159,0.009999999999990905,171.075,7.0,4.0
NVDA,2022-10-13,15:30-16:00,15:35:00,228,1.6786973308721027,1.6970956204831606,2.5181516766694196,2.51836306400849,0.01999999999999602,119.14,1.0,3.0
AAPL,2022-10-13,15:30-16:00,15:50:00,6708,0.7003046325164974,0.841649409047485,1.400560224090352,1.400952647801221,0.009999999999990905,142.805,4.0,4.0
AMD,2022-10-13,15:30-16:00,15:50:00,3292,1.6970725498511685,1.5746502163730118,1.6979370065367196,3.3921302578012242,0.00999999999999801,58.925,11.0,10.0
AAPL,2022-10-13,15:30-16:00,15:58:00,4347,0.6983971784747638,0.704193917018311,0.6985923364434194,1.3968431345167085,0.009999999999990905,143.185,10.0,8.0
AMD,2022-10-13,15:30-16:00,15:58:00,1981,1.6950589032965522,1.5959012234716246,1.6953462744774292,1.6956337431111508,0.00999999999999801,58.99,20.0,14.0
IWM,2022-10-13,15:30-16:00,15:58:00,3049,0.5831413826293452,0.581584374157776,0.5832094013350191,1.1660447761199997,0.009999999999990905,171.485,8.0,14.0
NVDA,2022-10-13,15:30-16:00,15:58:00,623,0.8356662349062062,1.1868267151091918,1.6712626389245617,2.5052777881988524,0.010000000000005116,119.695,3.0,4.0
