symbol,signal_ts,entry_ts,exit_ts,direction,entry_px,exit_px,stop_px,target_px,risk_per_share,r,ret_pct,bars_held,reason
AAPL,2021-01-28 11:10:00,2021-01-28 11:20:00,2021-01-28 11:45:00,1,139.44495,138.52,138.52,141.29485,0.9249499999999955,-1.0,-0.6633083521489989,5,stop
MSFT,2021-01-28 10:45:00,2021-01-28 11:25:00,2021-01-28 11:25:00,1,238.77999999999997,238.64,238.64,239.05999999999995,0.13999999999998636,-1.0,-0.05863137616215193,0,stop
AMZN,2021-01-28 10:55:00,2021-01-28 11:25:00,2021-01-28 12:55:00,1,3265.3275,3291.7425,3252.12,3291.7425,13.207499999999982,2.0,0.8089540788787637,18,target
MSFT,2021-01-29 10:45:00,2021-01-29 10:50:00,2021-01-29 11:25:00,-1,236.66500000000002,233.95500000000004,238.02,233.95500000000004,1.3549999999999898,2.0,1.145078486468206,7,target
SPY,2021-01-29 10:45:00,2021-01-29 10:50:00,2021-01-29 11:25:00,-1,375.46500000000003,373.05500000000006,376.67,373.05500000000006,1.204999999999984,2.0,0.641870746940452,7,target
AMD,2021-01-29 10:35:00,2021-01-29 10:50:00,2021-01-29 11:20:00,-1,87.915,87.08500000000002,88.33,87.08500000000002,0.41499999999999204,2.0,0.9440937268952784,6,target
QQQ,2021-01-29 10:40:00,2021-01-29 10:55:00,2021-01-29 11:10:00,-1,319.7,317.6614,320.7193,317.6614,1.019299999999987,2.0,0.6376603065373707,3,target
META,2021-01-29 12:20:00,2021-01-29 12:30:00,2021-01-29 14:25:00,-1,256.98,259.25,259.25,252.44000000000005,2.269999999999982,-1.0,-0.8833372246867388,23,stop
NVDA,2021-02-01 10:30:00,2021-02-01 10:35:00,2021-02-01 13:00:00,1,520.505,529.295,516.11,529.295,4.394999999999982,2.0,1.688744584586116,29,target
QQQ,2021-02-01 10:30:00,2021-02-01 10:40:00,2021-02-01 15:55:00,1,318.72005,322.47,316.02,324.1201500000001,2.700050000000033,1.3888446510249688,1.176565452973546,63,flatten
IWM,2021-02-01 10:40:00,2021-02-01 10:45:00,2021-02-01 11:20:00,-1,207.025,207.84,207.84,205.395,0.8149999999999977,-1.0,-0.39367226180412884,7,stop
AMZN,2021-02-01 10:30:00,2021-02-01 10:50:00,2021-02-01 10:50:00,1,3287.4700000000003,3293.3500000000004,3284.53,3293.3500000000004,2.9400000000000546,2.0,0.17886094778051537,0,target
AMD,2021-02-01 10:35:00,2021-02-01 11:05:00,2021-02-01 11:05:00,-1,85.475,85.52,85.52,85.38499999999999,0.045000000000001705,-1.0,-0.05264697279906605,0,stop
GOOGL,2021-02-01 10:55:00,2021-02-01 11:05:00,2021-02-01 11:10:00,-1,1862.94515,1865.9403,1865.9403,1856.95485,2.995149999999967,-1.0,-0.16077499651559612,1,stop
