label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,symbol,period
GOOGL|full,total,5549,10.687668614228036,26.932924907854648,24.89865743816694,30.734748482231254,0.8763021087817082,4.112074258423507,3.9212012361566906e-05,0.5255000901063255,2004-08-20,2026-09-10,GOOGL,full
HD|full,overnight,9239,3.8360225026014145,9.666776706555565,8.658053494139123,16.383952471903203,0.590014938283854,3.572524539515532,0.0003535563403114228,0.5280874553523108,1990-01-03,2026-09-10,HD,full
HD|full,intraday,9239,4.199010255378087,10.58150584355278,7.498449096257753,25.93478604185243,0.40800436242183785,2.470455411215632,0.01349411402478351,0.5004870656997511,1990-01-03,2026-09-10,HD,full
HD|full,total,9239,7.9943430414806205,20.145744464531163,16.805722324381676,30.26953633771367,0.6655451950029051,4.029858207014814,5.581050808833865e-05,0.5097954324061046,1990-01-03,2026-09-10,HD,full
IBM|full,overnight,9239,0.7572389737743613,1.9082422139113906,0.5941492152427241,16.11812036775751,0.1183911132546581,0.7168549979311648,0.4734635720961582,0.51693906266912,1990-01-03,2026-09-10,IBM,full
IBM|full,intraday,9239,4.262921216268913,10.742561464997664,8.536887134110875,22.594736093314012,0.47544531702569814,2.87880857256344,0.0039918055323604484,0.502760038965256,1990-01-03,2026-09-10,IBM,full
IBM|full,total,9239,5.0549220166709485,12.73840348201079,9.181758197267053,28.061642713481795,0.4539436130690531,2.748616334973759,0.005984739288827257,0.5101201428726052,1990-01-03,2026-09-10,IBM,full
INTC|full,overnight,9239,5.040172615525555,12.7012349911244,10.227932556178713,24.20682092288152,0.5246965320885464,3.1770233515396518,0.0014879505476179666,0.5311180863729841,1990-01-03,2026-09-10,INTC,full
INTC|full,intraday,9239,3.7111807529931853,9.352175497542827,4.189091477810168,32.45413504417547,0.28816591429144434,1.744836839644279,0.08101327415702464,0.4951834614135729,1990-01-03,2026-09-10,INTC,full
INTC|full,total,9239,8.778985249046116,22.12304282759621,14.845481485055883,40.67007921158612,0.5439636031319502,3.293684947104262,0.0009888326451696905,0.5054659595194285,1990-01-03,2026-09-10,INTC,full
IWM|full,overnight,6610,5.32567168218502,13.420692639106251,13.36052971709767,13.240402486822624,1.0136166670509494,5.191276994644735,2.088566368740885e-07,0.5574886535552194,2000-05-30,2026-09-10,IWM,full
IWM|full,intraday,6610,-0.8791427053874107,-2.215439617576275,-4.1487764927710575,20.10022686537993,-0.11021963246554627,-0.5644941139743784,0.5724179048227043,0.5110438729198185,2000-05-30,2026-09-10,IWM,full
IWM|full,total,6610,4.426207438747611,11.15404274564398,8.65745470811398,23.838937621882817,0.4678917711251189,2.3963258166347,0.01656036239777503,0.5308623298033283,2000-05-30,2026-09-10,IWM,full
JNJ|full,overnight,9239,1.6705397764833725,4.209760236738099,3.664650176018089,10.99545122297015,0.3828637998906002,2.318229983091198,0.020436825341983766,0.5285204026409784,1990-01-03,2026-09-10,JNJ,full
JNJ|full,intraday,9239,4.040058351144459,10.180947044884038,8.891575102453116,18.237059358717843,0.5582559580811612,3.3802247708789572,0.0007242657300587929,0.5037341703647581,1990-01-03,2026-09-10,JNJ,full
JNJ|full,total,9239,5.677574098895885,14.307486729217631,12.88207040111406,20.912531827386736,0.6841585154448283,4.142561360318106,3.4344843802713854e-05,0.5070895118519321,1990-01-03,2026-09-10,JNJ,full
JPM|full,overnight,9239,5.165521555609151,13.01711432013506,11.85893682581808,19.002500021953907,0.6850211448544229,4.147784558129414,3.3570808106730965e-05,0.5350146119709925,1990-01-03,2026-09-10,JPM,full
JPM|full,intraday,9239,2.508067835356456,6.320330945098269,1.658809527246467,30.700779493807755,0.2058687450060693,1.2465296990491037,0.21256999290150214,0.49204459357073277,1990-01-03,2026-09-10,JPM,full
JPM|full,total,9239,7.692824706316551,19.38591825991771,13.714463526961321,36.27592162013195,0.5344018123900444,3.2357885620287754,0.0012130720389214034,0.5010282498105856,1990-01-03,2026-09-10,JPM,full
KO|full,overnight,9239,0.9739208081481565,2.454280436533354,2.004635917810069,9.673761865605695,0.2537048637985764,1.5361761082713634,0.12449519400020126,0.507197748674099,1990-01-03,2026-09-10,KO,full
KO|full,intraday,9239,3.9992439982699444,10.07809487564026,8.642620360458261,18.913135307437965,0.5328621993031928,3.2264662463088807,0.0012532901341382185,0.5026518021430891,1990-01-03,2026-09-10,KO,full
