symbol,period,n_days,round_trips_per_yr,round_trip_cost_bps,gross_mean_bps,net_mean_bps,net_ann_ret_geom_pct,net_sharpe,net_t,net_p
RSP,2021_2026,1428,252,0,3.976345379964108,3.976345379964108,10.101458616310941,1.1264539136284786,2.681496667409923,0.007329364446302833
RSP,2021_2026,1428,252,1,3.976345379964108,2.976345379964109,7.362424806020086,0.8431651632838982,2.0071345556775353,0.044735337682833
RSP,2021_2026,1428,252,2,3.976345379964108,1.9763453799641095,4.6912672403737155,0.5598764129393179,1.332772443945147,0.1826064912762022
RSP,2021_2026,1428,252,3,3.976345379964108,0.9763453799641059,2.086310407834396,0.27658766259473627,0.6584103322127558,0.5102744979581002
RSP,2021_2026,1428,252,5,3.976345379964108,-1.023654620035896,-2.931498121607332,-0.2899898380944254,-0.6903138912520227,0.4899968140336779
RSP,2021_2026,1428,252,8,3.976345379964108,-4.023654620035893,-10.001277602555168,-1.1398560891281666,-2.713400226449187,0.006659661947663098
RSP,2021_2026,1428,252,10,3.976345379964108,-6.023654620035898,-14.427107397704894,-1.7064335898173288,-4.062124449913967,4.8628139573958507e-05
RSP,2021_2026,1428,252,20,3.976345379964108,-16.0236546200359,-33.50794305842493,-4.539321093263135,-10.805745567237853,0.0
RSP,last3y,753,252,0,5.6787683313402875,5.6787683313402875,15.021516912845406,1.810722746666629,3.1300348643830387,0.001747855574047552
RSP,last3y,753,252,1,5.6787683313402875,4.678768331340288,12.160584584896275,1.4918643884776683,2.578852868260951,0.00991289981196486
RSP,last3y,753,252,2,5.6787683313402875,3.678768331340288,9.370536903106402,1.1730060302887075,2.027670872138863,0.04259385037769747
RSP,last3y,753,252,3,5.6787683313402875,2.678768331340286,6.6496243995955435,0.854147672099746,1.476488876016774,0.13981269933245555
RSP,last3y,753,252,5,5.6787683313402875,0.6787683313402837,1.4084210490150162,0.21643095572182347,0.37412488377259645,0.7083114062283684
RSP,last3y,753,252,8,5.6787683313402875,-2.3212316686597143,-5.976189436161775,-0.7401441188450586,-1.2794211045936668,0.2007488058857343
RSP,last3y,753,252,10,5.6787683313402875,-4.321231668659715,-10.599161576587065,-1.3778608352229806,-2.3817850968378433,0.017228948632570962
RSP,last3y,753,252,20,5.6787683313402875,-14.321231668659715,-30.53044009211726,-4.5664444171125895,-7.893605058058724,2.886579864025407e-15
RSP,pre2015,2938,252,0,6.080833814630399,6.080833814630399,15.754706253746686,1.3070920747568302,4.463050559509963,8.080097753104809e-06
RSP,pre2015,2938,252,1,6.080833814630399,5.080833814630399,12.875566080319825,1.0921393043634038,3.7290968459958833,0.00019216729109583497
RSP,pre2015,2938,252,2,6.080833814630399,4.080833814630401,10.067760962804233,0.8771865339699779,2.995143132481806,0.0027431608529435714
RSP,pre2015,2938,252,3,6.080833814630399,3.0808338146303984,7.32953033500875,0.6622337635765513,2.2611894189677257,0.02374753004526209
RSP,pre2015,2938,252,5,6.080833814630399,1.0808338146303955,2.0549656322535403,0.23232822278969836,0.7932819919395663,0.4276135463090709
RSP,pre2015,2938,252,8,6.080833814630399,-1.919166185369602,-5.376654192208572,-0.41253008839057964,-1.4085791486026682,0.15895964805386553
RSP,pre2015,2938,252,10,6.080833814630399,-3.919166185369605,-10.029058490567067,-0.8424356291774326,-2.8764865756308278,0.00402129299989995
RSP,pre2015,2938,252,20,6.080833814630399,-13.919166185369608,-30.087259382784993,-2.9919633331116953,-10.216023710771617,0.0
DIA,full,7204,252,0,3.0315774294050293,3.0315774294050293,7.32733391616046,0.7191697018523765,3.845191417144703,0.00012045836858565195
DIA,full,7204,252,1,3.0315774294050293,2.0315774294050297,4.657027633017628,0.48194346613867456,2.5768116687510263,0.009971626421267255
DIA,full,7204,252,2,3.0315774294050293,1.0315774294050304,2.052901521187313,0.24471723042497262,1.3084319203573491,0.19072685177358895
DIA,full,7204,252,3,3.0315774294050293,0.0315774294050279,-0.4866782380972009,0.007490994711269935,0.0400521719636684,0.9680515324218866
DIA,full,7204,252,5,3.0315774294050293,-1.9684225705949743,-5.37853407110143,-0.4669614767161348,-2.4967073248236895,0.012535236839679165
DIA,full,7204,252,8,3.0315774294050293,-4.968422570594971,-12.270807427339598,-1.1786401838572402,-6.301846570004718,2.9412028368369647e-10
DIA,full,7204,252,10,3.0315774294050293,-6.968422570594975,-16.585485228232333,-1.6530926552846454,-8.838606066792078,0.0
DIA,full,7204,252,20,3.0315774294050293,-16.968422570594978,-35.18682385202319,-4.0253550124216675,-21.52240355072886,0.0
DIA,2021_2026,1428,252,0,2.182619098718507,2.182619098718507,5.2480126279443144,0.6268600638320873,1.492225426856218,0.1356400587346367
DIA,2021_2026,1428,252,1,2.182619098718507,1.1826190987185086,2.6292582256850396,0.3396546305981629,0.808539744946647,0.4187799357518056
DIA,2021_2026,1428,252,2,2.182619098718507,0.18261909871850796,0.0754108535894396,0.05244919736423796,0.12485406303707458,0.9006390860928577
DIA,2021_2026,1428,252,3,2.182619098718507,-0.8173809012814945,-2.4151319879009208,-0.2347562358696876,-0.5588316188724992,0.576276641216876
DIA,2021_2026,1428,252,5,2.182619098718507,-2.817380901281497,-7.212517992736942,-0.809167102337538,-1.9262029826916451,0.054079033548430466
DIA,2021_2026,1428,252,8,2.182619098718507,-5.817380901281495,-13.971660428998705,-1.6707834020393117,-3.9772600284203596,6.971391838561658e-05
DIA,2021_2026,1428,252,10,2.182619098718507,-7.8173809012814965,-18.202977289275708,-2.245194268507162,-5.3446313922395055,9.060123584703206e-08
DIA,2021_2026,1428,252,20,2.182619098718507,-17.8173809012815,-36.4447450780303,-5.117248600846411,-12.181488211335228,0.0
DIA,last3y,753,252,0,3.6927160906803858,3.6927160906803858,9.352298249144585,1.0902198120623514,1.8845657226531454,0.05948849375542142
DIA,last3y,753,252,1,3.6927160906803858,2.6927160906803866,6.631832187233394,0.7949846016399122,1.374218954481777,0.16937371801838186
DIA,last3y,753,252,2,3.6927160906803858,1.6927160906803869,3.978783961231991,0.499749391217473,0.8638721863104087,0.3876581074876606
DIA,last3y,753,252,3,3.6927160906803858,0.6927160906803845,1.39148933284353,0.20451418079503295,0.353525418139039,0.7236945764977103
DIA,last3y,753,252,5,3.6927160906803858,-1.307283909319617,-3.592292475812325,-0.3859562400498463,-0.667168118203699,0.50466475326547
